"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"shakingsats","2020-01-21T18:47:58+00",,,0.000005,"BTC",,"credit","40455.2636",,
"fiat funding","2020-01-21T19:02:10+00",,,200,"CAD",,"credit",,"test@gmail.com",
"purchase/sale","2020-01-21T19:02:49+00",200,"CAD",0.130650715177346,"ETH","1530.7991","purchase",,,
"crypto cashout","2020-01-21T19:06:01+00",0.05,"ETH",,,,"debit","1503.8878","0x0000000000000000000000000000000000000000","0x5bc8594daf277c53ecc226c5ce8e2b4ce4d066a391c43a49d1aaddc69099d89d"
"crypto cashout","2020-01-21T19:10:18+00",0.0806507151773459,"ETH",,,,"debit","1514.3843","0x0000000000000000000000000000000000000000","0x5bc8594daf277c53ecc226c5ce8e2b4ce4d066a391c43a49d1aaddc69099d89d"
"other","2020-01-22T01:01:21+00",,,30,"CAD",,"credit",,,
"shakingsats","2020-01-22T09:16:26+00",,,0.0000054,"BTC",,"credit","39897.9919",,
"purchase/sale","2020-01-22T09:17:50+00",30,"CAD",0.0200250448237071,"ETH","1498.1240","purchase",,,
"shakingsats","2020-01-23T06:03:08+00",,,0.0000058,"BTC",,"credit","42450.6447",,
"purchase/sale","2020-01-24T04:50:17+00",0.0000162,"BTC",0.66,"CAD","40940.3988","sale",,,
"shakingsats","2020-01-24T20:10:24+00",,,0.0000062,"BTC",,"credit","39868.0951",,
"shakingsats","2020-01-25T06:28:07+00",,,0.0000066,"BTC",,"credit","42232.1021",,
"shakingsats","2020-01-26T05:52:44+00",,,0.000007,"BTC",,"credit","41134.3764",,
"shakingsats","2020-01-27T05:27:16+00",,,0.0000074,"BTC",,"credit","40103.1285",,
"purchase/sale","2020-01-27T05:28:00+00",0.0000272,"BTC",1.07,"CAD","39600.2299","sale",,,
"purchase/sale","2020-01-27T05:28:15+00",1.73,"CAD",0.00103778174776362,"ETH","1667.0172","purchase",,,
"shakingsats","2020-01-28T14:55:14+00",,,0.0000077,"BTC",,"credit","40841.9467",,
"shakingsats","2020-01-29T05:46:53+00",,,0.0000081,"BTC",,"credit","42488.3347",,
"purchase/sale","2020-01-29T19:54:05+00",0.0000158,"BTC",0.67,"CAD","42582.2563","sale",,,
"shakingsats","2020-01-31T03:23:12+00",,,0.0000085,"BTC",,"credit","43370.2561",,
"shakingsats","2020-01-31T06:36:39+00",,,0.0000088,"BTC",,"credit","43188.7027",,
